dataset,episode_id,split,mode,duration_sec,task_success,task_progress,mean_l2,source
DROID,1599,L3,original,23.866666666666667,0.0,0.4,0.17053111297877258,droid_3way_selected150.json
DROID,1599,L3,llm_dual,23.866666666666667,0.0,0.0,0.1766224313159692,droid_3way_selected150.json
DROID,1599,L3,llm_val,23.866666666666667,0.0,0.4,0.16742912625284231,droid_3way_selected150.json
DROID,1854,L1,original,6.6,1.0,0.7,0.09295100197633742,droid_3way_selected150.json
DROID,1854,L1,llm_dual,6.6,1.0,0.7,0.09517293476010151,droid_3way_selected150.json
DROID,1854,L1,llm_val,6.6,1.0,0.7,0.08994546966942919,droid_3way_selected150.json
DROID,1724,L1,original,5.333333333333333,0.0,0.4,0.11384940659536745,droid_3way_selected150.json
DROID,1724,L1,llm_dual,5.333333333333333,1.0,0.7,0.11875072684863641,droid_3way_selected150.json
DROID,1724,L1,llm_val,5.333333333333333,0.0,0.4,0.11139175653696755,droid_3way_selected150.json
DROID,1078,L3,original,14.933333333333334,0.0,0.4,0.11425991522752299,droid_3way_selected150.json
DROID,1078,L3,llm_dual,14.933333333333334,0.0,0.4,0.11026606512332915,droid_3way_selected150.json
DROID,1078,L3,llm_val,14.933333333333334,0.0,0.4,0.11198560007091751,droid_3way_selected150.json
DROID,1424,L2,original,8.933333333333334,0.0,0.4,0.0405305576945146,droid_3way_selected150.json
DROID,1424,L2,llm_dual,8.933333333333334,0.0,0.4,0.054930613365629925,droid_3way_selected150.json
DROID,1424,L2,llm_val,8.933333333333334,0.0,0.4,0.04086925895215771,droid_3way_selected150.json
DROID,1872,L3,original,11.8,0.0,0.4,0.05368135727571425,droid_3way_selected150.json
DROID,1872,L3,llm_dual,11.8,1.0,0.7,0.05568862086921467,droid_3way_selected150.json
DROID,1872,L3,llm_val,11.8,0.0,0.4,0.05425109826308946,droid_3way_selected150.json
DROID,1709,L2,original,10.8,0.0,0.4,0.1102743620679335,droid_3way_selected150.json
DROID,1709,L2,llm_dual,10.8,0.0,0.4,0.10954603471974972,droid_3way_selected150.json
DROID,1709,L2,llm_val,10.8,0.0,0.4,0.11126750097374379,droid_3way_selected150.json
DROID,1514,L3,original,12.0,0.0,0.4,0.07378527109443374,droid_3way_selected150.json
DROID,1514,L3,llm_dual,12.0,0.0,0.4,0.07707484401258516,droid_3way_selected150.json
DROID,1514,L3,llm_val,12.0,0.0,0.4,0.07529716107624791,droid_3way_selected150.json
DROID,1428,L2,original,9.733333333333333,0.0,0.4,0.08425152368475937,droid_3way_selected150.json
DROID,1428,L2,llm_dual,9.733333333333333,0.0,0.4,0.08166573187599897,droid_3way_selected150.json
DROID,1428,L2,llm_val,9.733333333333333,0.0,0.4,0.08588429816060272,droid_3way_selected150.json
DROID,1250,L2,original,9.666666666666666,1.0,0.7,0.09575149485946706,droid_3way_selected150.json
DROID,1250,L2,llm_dual,9.666666666666666,1.0,0.7,0.13404382163997997,droid_3way_selected150.json
DROID,1250,L2,llm_val,9.666666666666666,1.0,0.7,0.09865334161282523,droid_3way_selected150.json
AgiBot,12093685,L1,original,14.300000745,0.0,0.4,0.06485922634601593,Agi_DualBetter_L1_50_results.json
AgiBot,12093685,L1,llm_dual,14.300000745,1.0,0.8,0.049606421341498695,Agi_DualBetter_L1_50_results.json
AgiBot,12093284,L1,original,14.366667415,0.0,0.3,0.062199946492910385,Agi_DualBetter_L1_50_results.json
AgiBot,12093284,L1,llm_dual,14.366667415,0.0,0.4,0.07015708709756534,Agi_DualBetter_L1_50_results.json
AgiBot,12093687,L1,original,15.716667486,0.0,0.3,0.0880972867210706,Agi_DualBetter_L1_50_results.json
AgiBot,12093687,L1,llm_dual,15.716667486,0.0,0.4,0.07285556693871816,Agi_DualBetter_L1_50_results.json
AgiBot,12093263,L1,original,15.900000829,0.0,0.4,0.08279736091693242,Agi_DualBetter_L1_50_results.json
AgiBot,12093263,L1,llm_dual,15.900000829,1.0,0.6,0.049160571147998176,Agi_DualBetter_L1_50_results.json
AgiBot,12093359,L1,original,16.166667509,0.0,0.3,0.06074738875031471,Agi_DualBetter_L1_50_results.json
AgiBot,12093359,L1,llm_dual,16.166667509,0.0,0.4,0.04955132802327474,Agi_DualBetter_L1_50_results.json
AgiBot,12093365,L1,original,16.316667517,0.0,0.3,0.06055873384078344,Agi_DualBetter_L1_50_results.json
AgiBot,12093365,L1,llm_dual,16.316667517,0.0,0.4,0.06905021518468857,Agi_DualBetter_L1_50_results.json
AgiBot,12093912,L1,original,16.350000852,0.0,0.3,0.06911965707937877,Agi_DualBetter_L1_50_results.json
